,funding_entity,sum(mean_spend)
58,"Bill Me, Inc.",74844316.5
59,Vote Yes for Fairness,73073096.0
60,"Beachside Media, Inc.",72684599.5
61,The Patriot Depot,71418438.0
62,Doctors Without Borders/Médecins Sans Frontières (MSF),70566296.0
63,DEMOCRATIC ACTION,70175693.5
64,IVote Civic Education Fund,66802924.0
65,SMP,65475052.5
66,JIM JORDAN FOR CONGRESS,64998229.0
67,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee.,64809722.0
68,Center for American Progress Action Fund,64112018.0
69,The GOP Shop,63799026.0
70,Alyssa Nicole Bambrick,63582933.5
71,Service First Flag Poles,60552746.0
72,Shop Insurance Plans,60450663.5
73,MARK KELLY FOR SENATE,60241752.0
74,SEIU COPE (SERVICE EMPLOYEES INTERNATIONAL UNION COMMITTEE ON POLITICAL EDUCATION),58542258.5
75,DOUG JONES FOR SENATE COMMITTEE,58397472.0
76,The Earthling Co.,57680655.0
77,"GREENPEACE, INC.",57610696.5
78,Planned Parenthood Federation of America,55685868.5
79,Patriots Cave,55675923.5
80,Lacy Johnson for Congress,55605394.5
81,JON OSSOFF FOR SENATE,54331854.5
82,Newsmax Media,53433322.5
83,Planned Parenthood Action Fund,53088044.0
84,Ben Ferguson show,52687695.0
85,The Lincoln Project,52397275.0
86,MOVEON.ORG POLITICAL ACTION,52290934.0
87,MCSALLY FOR SENATE INC,51576299.0
88,X Social Media LLC,51563852.5
89,Learn Our History,51010237.5
90,"AMERICANS FOR PROSPERITY ACTION, INC.(AFP ACTION)",50655777.5
91,SARA GIDEON FOR MAINE,50363005.5
92,Young Kim for Congress,50137507.0
93,Alliance Defending Freedom,49597198.0
94,"PACRONYM, PACRONYM.org. Not authorized by any candidate or candidate’s committee.",49205632.5
95,CARE NET,49186699.5
96,DHS Blue Campaign,48854935.5
97,AMERICANS FOR PROSPERITY,48644541.0
98,DCCC,48336430.0
99,314 ACTION FUND,48299210.0
100,WOMEN VOTE!,48155694.5
101,Concerned Veterans for America,48062167.5
102,FEDERATION FOR AMERICAN IMMIGRATION REFORM,47948462.0
103,EVERYTOWN FOR GUN SAFETY VICTORY FUND (EVERYTOWN VICTORY FUND),47533653.5
104,WhatsApp Inc.,46736490.0
105,NEXTGEN CLIMATE ACTION COMMITTEE,46458012.5
106,Corey Francis Mc Govern,46342432.5
107,"OPEN DOORS WITH BROTHER ANDREW, INC.",46198559.0
108,Balance of Power,46087153.5
109,WARNOCK FOR GEORGIA,45654393.5
110,JOE COLLINS FOR CONGRESS,44725546.0
111,Service First ,44547132.0
112,Pfizer Inc.,44148328.5
113,"AMERICAN CHEMISTRY COUNCIL, INC.",43633633.0
114,KEVIN MCCARTHY FOR CONGRESS,43436484.0
115,Priorities USA and Majority Forward,43055279.0
116,"SAVE THE CHILDREN FEDERATION, INC.",41966925.0
117,Preemptive Love Coalition,41310259.5
118,Alexandria Ocasio-Cortez for Congress,41206161.0
119,VOTO LATINO INC.,41094678.5
120,JEFF MERKLEY FOR OREGON,40612321.0
121,WorkMoney,40495777.0
122,Friends of the Earth,40491423.0
123,Credox,40001931.5
124,America First Action,39864527.0
125,MEDIA RESEARCH CENTER,39708539.5
126,The Conservative Institute,39289329.5
127,New York City Department of Health and Mental Hygiene,37230132.5
128,Shield Republic,36862808.5
129,"Yes on 22 – Save App-Based Jobs & Services: a coalition of on-demand drivers and platforms, small businesses, public safety and community organizations. Committee major funding from Uber Technologies, Lyft, and DoorDash.",36184578.0
130,Candace Owens LLC,36031356.0
131,ASMDSS,36008063.5
132,PETERS FOR MICHIGAN,35063184.5
133,Law Scout,34745902.0
134,Club for Growth Action,34516782.5
135,Proud Right Winger,34439170.0
136,Defending Democracy Together,34352591.0
137,Courier Newsroom,33738278.5
138,"Carpenter Contractor Alliance of Metropolitan New York, Inc.",33481555.5
139,Live Action,33461528.0
140,Congressional Black Caucus PAC,32960513.5
141,MONTANANS FOR BULLOCK,32828364.5
142,Prison Fellowship,32390933.0
143,UNITE THE COUNTRY,32322288.0
144,"LCV Victory Fund, 202-785-8683, and Priorities USA Action, 202-455-8428, and not authorized by any candidate or candidate’s committee.",31544005.0
145,WorkMoney Inc,31086678.5
146,WAYMAKERS,30947983.0
147,Common Practice,30628918.5
148,Hoover Institution,30541332.5
149,International Rescue Committee,30443033.0
150,Blueland,30242657.5
151,City of New York,30230110.5
152,Blaze Media LLC,30040452.0
153,Kim Klacik for Congress,30033869.0
154,American Civil Liberties Union,29654163.5
155,LET AMERICA VOTE PAC,28995045.5
156,World Food Program USA,28873896.0
157,Mike Bloomberg 2020 Inc,28826396.5
158,"County of Santa Clara, Office of the Census",28304121.5
159,"SafeSleeve, LLC",28289185.5
160,NRCC,27766036.5
161,ProgressPop,27664976.0
162,CONGRESSIONAL LEADERSHIP FUND,27508682.0
163,The Kids Guide,27506787.5
164,Blexit Foundation,27306142.0
165,Alliance for Safety and Justice,27253788.0
166,DITCH FUND,27238685.5
167,Ancestry.com Operations Inc.,27233647.0
168,Fight for $15,27036913.5
169,Covenant House,26937116.5
170,AB PAC,26872294.0
171,"Karla Dennis & Associates, Inc",26850736.0
172,The American Petroleum Institute,26831161.0
173,Priorities USA,26723080.5
174,Feeding America,26479432.0
175,HERITAGE FOUNDATION (THE),26297584.5
176,Natural Resources Defense Council,26041619.0
177,Human Coalition,25959962.0
178,BE A HERO PAC,25951370.0
179,"NO on 23 - Stop the Dangerous & Costly Dialysis Proposition, a coalition of dialysis providers, nurses, doctors and patients. Committee major funding from DaVita, Fresenius Medical Care, US Renal Care",25878093.5
180,One Nation Design,25853734.5
181,The Clorox Company,25775170.0
182,Solcius,25751627.5
183,MAJORITY FORWARD,25642086.0
184,CertifiedCCW.com,25491617.0
185,NRA Victory Fund,25210963.5
186,The Daily Wire,25206059.5
187,Mercy Corps,25147411.5
188,RODIMER FOR CONGRESS,24975957.0
189,American Center for Law and Justice,24948258.0
190,TECH FOR CAMPAIGNS,24560777.0
191,"OCEAN CONSERVANCY, INC.",24472862.5
192,"Future Majority, Inc",24457771.0
193,Stansberry Research,24439508.0
194,Joni for Iowa,23847027.0
195,SUPER STATES 2020,23801167.0
196,Spectrum News,23619550.5
197,Sixteen Thirty Fund,23610828.0
198,When We All Vote,23506506.5
199,American Association for the Advancement of Science,23172419.5
200,Florida Democratic Party,23101943.0
201,Do Amore Limited Company,22663212.5
202,HICKENLOOPER FOR COLORADO,22181239.5
203,USAFacts Institute,22070904.0
204,COLLECTIVE FUTURE,21810898.5
205,CHC BOLD PAC,21788995.0
206,Planned Parenthood Votes,21725788.0
207,America First Policies Inc ,21577257.5
208,"LMB OpCo, LLC",21233872.5
209,INTUIT INC.,21222021.5
210,PACRONYM,21162701.5
211,ILHAN FOR CONGRESS,21131793.0
212,California Secretary of State,21123866.5
213,"Yes on 22 – Save App-Based Jobs & Services: a coalition of on-demand drivers and platforms, small businesses, public safety and community organizations. Committee major funding from Lyft, Uber Technologies, and DoorDash.",21055118.0
214,Homeowners and Tenants United,21038792.5
215,National Education Association,20823221.0
216,UPMC,20810599.5
217,SEIU,20733766.0
218,HOUSE FREEDOM FUND,20457486.5
219,Greater Half,20399910.0
220,BERNIE 2020,20313198.5
221,Let's Count Texas,20292761.0
222,"PROJECT HOPE-THE PEOPLE-TO-PEOPLE HEALTH FOUNDATION, INC.",20252896.5
223,Conservation International,20143891.0
224,No on Prop 21: Californians for Responsible Housing,20042382.0
225,Alliance for a Better Minnesota Action Fund,19821670.0
226,Equality California,19663028.0
227,"Reliant Energy Retail Services, LLC",19607630.0
228,Jason Lewis for Senate,19467845.0
229,WYDEN FOR SENATE,19445629.5
230,AMMAR CAMPA-NAJJAR FOR CONGRESS,19437697.0
231,University of Vermont,19402802.0
232,"LEAGUE OF CONSERVATION VOTERS, INC",19346708.0
233,CUMMINGS FOR CONGRESS,19273018.5
234,Mobile Workers Alliance,18962809.5
235,Brady Campaign to Prevent Gun Violence,18958638.5
236,Schools and Communities First,18842404.0
237,"FREEDOMWORKS, INC.",18581210.0
238,Off the Sidelines,18493673.0
239,Convention of States Action,18492675.0
240,TEXANS FOR SENATOR JOHN CORNYN INC.,18479470.0
241,Patriot Polling,18430899.5
242,HERITAGE ACTION FOR AMERICA,18369167.5
243,Outergoods LLC,18186134.0
244,SAVE AMERICA FUND,17943628.0
245,NRDC Action Fund,17932289.0
246,NATIONAL ASSOCIATION OF REALTORS,17727554.0
247,Keep America Great,17511036.5
248,Coalition to Stop the Proposed Tax Hike Amendment,17441626.5
249,Americas Warrior Partnership,17423806.0
250,AL Census 2020,17344608.0
251,Center for Community Change Action,17338745.0
252,SENATE CONSERVATIVES FUND,17267971.5
253,World Wildlife Fund,17209446.0
254,"OPERATION SMILE, INC.",17105733.5
255,HILLSDALE COLLEGE,17034171.5
256,TRUST MICHIGAN FAMILIES,17027587.0
257,Dorsal Bracelets,17018781.5
258,ADAIR FOR CONGRESS,16987116.5
259,PushBlack,16776881.0
260,The Leadership Conference on Civil and Human Rights,16681250.0
261,Priorities USA Action and Color of Change PAC. (202) 455-8428. (646) 395-3711. Not authorized by any candidate or candidate's committee.,16459666.0
262,BOXD Marketing,16334890.5
263,"INTERNATIONAL UNION, UNITED AUTOMOBILE, AEROSPACE AND AGRICULTURAL IMPLEMENT WORKERS OF AM",16321408.0
264,Innovative Ecomm LLC,16292465.5
265,Reform Austin Inc. ,16044257.0
266,IOWA DEMOCRATIC PARTY,15996006.5
267,AmeriPolling,15815248.0
268,Anthony Alexander Morales,15725784.0
269,Issue One,15702033.0
270,Stand For America Inc,15586429.0
271,Texas Democratic Party,15507402.0
272,Gregory Lawrence Burright,15439399.5
273,Texas Precision Optics Inc,15344641.5
274,DEFAZIO FOR CONGRESS,15295287.0
275,UNITED STATES HOLOCAUST MEMORIAL MUSEUM,15282950.5
276,Focus on the Family,15163727.5
277,MEIDASTOUCH,15102995.5
278,One Fair Wage,15037731.5
279,Michigan Census 2020,15015536.0
280,American Heart Association,14784524.0
281,United Association Political Education Committee,14693830.0
282,GALvanize USA,14489712.0
283,FWD.us,14475520.0
284,UNITE HERE PAC,14425384.5
285,"Marsy's Law for Kentucky, LLC",14329956.0
286,DEVIN NUNES CAMPAIGN COMMITTEE,14300884.5
287,"INTERNATIONAL FUND FOR ANIMAL WELFARE, INC.",14286746.0
288,Black PAC,14249153.5
289,THERESA GREENFIELD FOR IOWA,14244031.5
290,CATHOLIC RELIEF SERVICES - UNITED STATES CONFERENCE OF CATHOLIC BISHOPS,14206932.5
291,Cory Gardner for Senate,14201400.0
292,FRIENDS OF RAJA FOR CONGRESS,14023677.5
293,FRIENDS OF BEN MCADAMS,13997263.0
294,Omar Rivero,13957122.5
295,DEMOCRATIC PARTY OF WISCONSIN,13942912.5
296,cleancult,13811767.0
297,The Hamilton Collection,13694819.5
298,Mackinac Center for Public Policy,13635189.5
299,Represent Justice,13172251.0
300,Unite for Colorado,13105600.0
301,A Case for Women,13097454.0
302,Chad Keller,13074061.0
303,MJ FOR TEXAS,13057303.5
304,America First Credit Union,13029326.5
305,BANK OF THE WEST,12972173.0
306,"LCV Victory Fund, 202-785-8683, and not authorized by any candidate or candidate’s committee",12935748.5
307,JASON SMITH FOR CONGRESS,12897091.5
308,WENDY DAVIS FOR CONGRESS,12878296.0
309,"Californians for Equal Rights, No on 16, committee major funding by Students for Fair Admissions (# 1427809).",12827927.5
310,Engage Michigan,12825949.5
311,Partnership for Energy Progress,12818770.0
312,INDIVISIBLE ACTION,12770815.0
313,DEFEAT BY TWEET,12704255.5
314,Meals for Pets,12701773.0
315,Partnership for America's Health Care Future,12654939.5
316,"CENTER FOR BIOLOGICAL DIVERSITY, INC.",12648057.0
317,"Carton Council of North America, Inc.",12547689.0
318,Proud Patriots,12463802.0
319,8 Billion Trees LLC,12438971.5
320,"YES on 14: Californians for Stem Cell Research, Treatments and Cures. Committee major funding from Robert N. Klein II and Affiliated Entity Klein Financial Corporation, Dagmar Dolby, JDRF International. Funding details at www.fppc.ca.gov",12437155.5
321,Humanity Forward,12388040.0
322,JEWISH VOICE MINISTRIES INTERNATIONAL,12254927.0
323,LEADERSHIP INSTITUTE INC,12217428.0
324,USA Carry Online,12113501.5
325,Story Network Foundation,12047339.5
326,"WARREN DEMOCRATS, INC.",12038617.5
327,American Federation of Teachers,12029871.5
328,"HULU, LLC",11908038.0
329,Cooper For North Carolina ,11889124.5
330,"INTERNATIONAL FELLOWSHIP OF CHRISTIANS & JEWS, INC.",11886660.0
331,Easterseals,11874267.5
332,"HUMAN RIGHTS CAMPAIGN, INC.",11841142.5
333,The Presidential Coalition,11721768.0
334,Stand Up America,11708043.0
335,The U.S. Chamber of Commerce,11685250.5
336,Alliance for a Better Minnesota Federal PAC,11669897.5
337,Marine Corps Scholarship Foundation,11662504.5
338,"Stand Up To China, Inc.",11648020.0
339,Leadership Conference Education Fund,11590780.0
340,Independence USA PAC,11525433.5
341,DEFENDERS OF WILDLIFE,11506492.0
342,PRESERVE AMERICA PAC,11444945.5
343,Legend Bracelet,11418693.0
344,VALERIE PLAME FOR CONGRESS,11408064.5
345,Hillsdale College,11310143.5
346,NEW JERSEY EDUCATION ASSOCIATION,11245784.5
347,Save My Country Action Fund,11206971.0
348,ALEXANDRIA OCASIO-CORTEZ FOR CONGRESS,11206811.5
349,NARAL Pro-Choice America,11186797.0
350,COLLINS FOR SENATOR,11181152.0
351,Alliance for Climate Education,11130293.5
352,"Wise Rock Media, PBC",11022938.0
353,Care2,10866803.0
354,True Coverage,10861182.0
355,Benepath,10841454.0
356,PEOPLE FOR BEN,10804767.5
357,Listos California,10801344.0
358,Nickelodeon with Facebook Ad Credits,10749047.5
359,"Public Opinion Research Group, Inc",10741020.0
360,Til Valhalla Project,10722311.5
361,"A Better Wisconsin Together, Inc.",10707602.5
362,Respect The Look,10676415.5
363,Win Justice,10674123.0
364,Concealed Country,10668707.0
365,Project War Path,10549014.0
366,CommonSense American,10521765.5
367,4Patriots LLC,10519877.0
368,United States Postal Service,10446141.5
369,Illinois Department of Human Services,10416929.5
370,Wisconsin Right to Life,10400016.5
371,Texas Public Policy Foundation,10356536.0
372,LIFE Outreach International ,10343368.0
373,Move Health Care Forward NJ Inc,10334643.5
374,BIOTECHNOLOGY INNOVATION ORGANIZATION,10281646.5
375,JOYCE ELLIOTT FOR CONGRESS,10269982.5
376,"John Kennedy for Us, Inc",10205292.0
377,ALEK FOR OREGON,10154587.0
378,CAL FOR NC,10110961.0
379,TOBACCO-FREE KIDS ACTION FUND,10046762.5
380,David Horowitz Freedom Center,10043883.0
381,Nevada Health Link,10035586.0
382,Arizona Game and Fish,10032954.5
383,United Research Group,9995202.5
384,National Women's Law Center,9969652.0
385,Dems For USA,9962782.5
386,Texas Oil & Gas Association,9958203.0
387,Patients for Affordable Drugs Now,9948212.5
388,Real Voices Media,9847964.5
389,My Faith Votes,9833000.5
390,Jerusalem Prayer Team,9801109.5
391,The American Digest,9778089.0
392,INTEGRITY FIRST PAC,9756972.5
393,WHEN DEMOCRATS TURN OUT PAC,9710924.0
394,Nancy Mace for Congress,9693514.0
395,End Citizens United Non-federal,9668142.5
396,"NATIONAL AUDUBON SOCIETY, INC.",9640594.0
397,Benjamin Aaron Perlman,9585988.5
398,DEBBIE FOR CONGRESS,9581607.5
399,"Florida Watch, Inc.",9578627.0
400,The Allstate Foundation ,9506006.0
401,EMILY'S LIST,9502004.5
402,Human Coalition Action,9416155.5
403,Love Has No Labels with Facebook Ad Credits,9353247.5
404,ELISE FOR CONGRESS,9235547.0
405,Project Pulso,9208836.5
406,AMERICAN FEDERATION OF STATE COUNTY & MUNICIPAL EMPLOYEES,9132050.0
407,Katie Porter For Congress ,9122455.5
408,PATRICIA TIMMONS-GOODSON FOR CONGRESS,9106739.0
409,"WILLIAMS COMPANIES, INC., THE",9059639.0
410,TERESA NONE OHARA-MARSH,9044175.5
411,ENVIRONMENTAL WORKING GROUP,9019162.0
412,Power The Polls,9010609.5
413,ELAINE FOR CONGRESS,9000827.0
414,South Dakota Department of Health,8979935.5
415,Left Action LLC,8967672.0
416,Ibrahim Oloko,8926570.5
417,Astonishean Miracle Bundage,8918514.5
418,COMPASSION & CHOICES,8760837.0
419,Tri-State Generation Transmission Association Inc,8660002.0
420,CARE,8639160.0
421,Protect Our Winters,8634790.0
422,THE SQUAD VICTORY FUND,8631264.5
423,The Wilderness Society Action Fund,8626286.0
424,Planned Parenthood of the Great Northwest and Hawaiian Islands,8607655.0
425, Colorado Families First,8605713.0
426,AMERICAN BRIDGE 21ST CENTURY,8544709.0
427,"No on Prop 15 - Stop Higher Property Taxes and Save Prop 13 - a coalition of California homeowners, taxpayers, and businesses",8531017.0
428,"NEWSMAX MEDIA, INC.",8525769.0
429,STOP 45 PAC,8467192.5
430,DFL House Caucus,8466282.0
431,BOLLIER FOR KANSAS,8421110.0
432,Scott Dennis Welch,8409887.0
433,Live Action News,8372981.5
434,Edelson PC,8355093.0
435,Verizon Media Inc,8335568.0
436,PENNSYLVANIA DEMOCRATIC PARTY,8300030.5
437,Comcast,8281696.5
438,Arizona Democratic Party,8273370.5
439,RESTORATION PAC,8270476.5
440,DR. AL GROSS FOR U.S. SENATE,8263658.0
441,COLORADO ORGANIZATION FOR LATINA OPPORTUNITY & REPRODUCTIVE RIGHTS,8243838.0
442,FCTRY,8181658.5
443,BIRD & STONE INC,8167815.5
444,Ashley Hinson For Congress,8124843.5
445,First Aid Beauty,8098643.0
446,AFL-CIO,8066489.5
447,Gillibrand for Senate,8056481.5
448,Levi's®,8031665.5
449,Geothermal Exchange Organization,8006833.5
450,EDF Action Votes INC,7998092.0
451,CA Census 2020,7982253.0
452,Bloomberg Philanthropies,7979802.0
453,KANSANS FOR MARSHALL,7950963.5
454,Meme2020,7941449.0
455,"Premiere Marketing, Inc.",7934491.5
456,National Democratic Redistricting Committee ,7906388.5
457,Club for Growth,7894336.0
458,Eric Clifford Juels,7891512.0
459,Demand Justice ,7863204.0
460,One Nation,7790002.0
461,Minnesota Senate DFL Caucus,7744054.0
462,"COLLINS FOR SENATE, INC.",7724891.5
463,SPANBERGER FOR CONGRESS,7703128.0
464,Florida Department of Health Bureau of Tobacco Free Florida ,7649062.5
465,"Paid for by the American Federation of State, County & Municipal Employees PEOPLE, afscme.org/afscme-people. Not authorized by any candidate or candidate’s committee.",7646026.0
466,James Brian Plouf,7592413.5
467,MARCH OF DIMES INC.,7567507.5
468,"Marsy’s Law for Wisconsin, LLC",7562883.0
469,We Count LA,7542656.0
470,New Americans Campaign,7529354.0
471,Pharmaceutical Industry Labor Management Association,7525063.0
472,American Medical Association,7524699.0
473,FOR OUR FUTURE,7465488.5
474,Citizens Against Lawsuit Abuse,7430710.5
475,Mermaid Straw,7415693.0
476,If/When/How: Lawyering for Reproductive Justice,7393265.0
477,Working America,7386972.5
478,News and News,7313181.5
479,"Supermajority PAC, https://supermajority.com/pac/. Not authorized by any candidate or candidate's committee.",7310901.5
480,Georgia Secretary of State,7288499.5
481,Illinois Policy,7276433.5
482,The Brookings Institution,7272380.0
483,"HUMANE SOCIETY OF THE UNITED STATES, THE",7246047.5
484,Levi Strauss & Co.,7197363.0
485,Stand Together Chamber of Commerce Inc.,7167599.0
486,BLUE SENATE PAC,7167049.0
487,Uniting Missouri,7166696.5
488,MOVEON.ORG CIVIC ACTION,7150130.5
489,REALLY AMERICAN PAC,7068982.5
490,CAWTHORN FOR NC,7048062.0
491,"COMPASSION INTERNATIONAL, INCORPORATED",7042800.5
492,"Recount Media, Inc",7041865.5
493,Nationalsecurityaction.org,7035858.0
494,"WILDERNESS SOCIETY, THE",7024040.5
495,Healthy Air Alliance,7014925.5
496,Flag and Cross,7006777.5
497,VOTEVETS,6977011.5
498,Health Care Voter,6973322.0
499,UNITED STATES FUND FOR UNICEF,6957777.0
500,Michelle Steel for Congress,6909939.5
501,AMERICAN LIBERTY FUND,6883828.5
502,Citizens Energizing Michigan's Economy,6879921.0
503,AMERICANS FOR PARNELL COMMITTEE,6871578.0
504,Campaign for Sustainable Rx Pricing,6861776.0
505,Brad Aaron Shaw,6850564.0
506,Senate Leadership Fund,6849114.5
507,N-Hance Inc.,6802420.0
508,Hello Resistance Apparel,6741809.5
509,Priorities USA Action and SMP. (202) 455-8428. (202) 871-9255. Not authorized by any candidate or candidate's committee. ,6735861.0
510,Color Of Change PAC,6733177.0
511,Unity College,6732977.5
512,"OXFAM AMERICA, INC.",6723228.0
513,4ocean,6713897.0
514,MARYLAND STATE EDUCATION ASSOCIATION,6693256.5
515,U.S. Term Limits Inc.,6678526.0
516,Tenth Amendment Center,6666261.0
517,Consumer Law Group,6654374.5
518,The Arc with Facebook Ad Credits,6610522.0
519,Ohio Republican Party,6582181.5
520,California Teachers Association Independent Expenditure Committee. Committee major funding from California Teachers Association/Association for Better Citizenship. Not authorized by a candidate or a committee controlled by a candidate.,6571784.5
521,California Community Colleges Chancellor's Office,6540064.5
522,Better Future Michigan. Not Authorized by any Candidate or Candidate’s Committee,6510717.5
523,Texas LawShield,6504749.0
524,Marco Rubio for Senate,6489656.0
525,TED CRUZ FOR SENATE,6480826.0
526,TEXAS ASSOCIATION OF BUSINESS,6468654.0
527,RESOURCES LEGACY FUND,6456605.5
528,The Empowerment Alliance,6430174.5
529,Georgia Action Fund,6393938.5
530,Hunt for Congress,6388900.0
531,Civic Action,6343531.5
532,Arizonans for Great Schools and a Strong Economy,6303989.5
533,ClearWay Minnesota ,6301216.5
534,Keep Trump In Office,6299856.0
535,Women Speak Out PAC,6293256.0
536,Working Families Party National Independent Expenditure Committee,6290000.5
537,"Hunter Nation, Inc",6273809.5
538,the Michigan Democratic Party,6242137.5
539,Union Rescue Mission,6239917.5
540,NYC Health + Hospitals,6238575.5
541,Commonwealth Communications,6215314.5
542,Duty and Honor,6205811.5
543,ELECT DEMOCRATIC WOMEN,6201358.5
544,Donald Chappell Fawcett,6184893.0
545,ARBALLO FOR CONGRESS,6172569.5
546,National Redistricting Action Fund,6172371.0
547,Jo Jorgensen for President,6162926.5
548,Let America Vote PAC and National Democratic Redistricting Committee,6157375.5
549,Powered By People ,6150764.0
550,No Kid Hungry,6143428.0
551,The Fund for American Studies,6111668.0
552,"A Better Wisconsin Together Institute, Inc.",6110294.5
553,FWD.us Education Fund,6109631.5
554,SOMOS PAC,6074535.5
555,"The Young Turks, Inc.",6060472.5
556,Creative Action Network,6057788.5
557,the NRSC and not authorized by any candidate or candidate's committee.,6046405.5
558,Planned Parenthood of Wisconsin,6042668.5
559,SCHIFF FOR CONGRESS,6038022.0
560,"INNOCENCE PROJECT, INC., THE",6031649.5
561,FRIENDS OF LUCY MCBATH,5997429.0
562,County of Los Angeles ,5983457.5
563,CASTEN FOR CONGRESS,5963980.5
564,Secure Democracy,5931693.5
565,Jeffrey R Anderson PA,5929008.5
566,ONE FOR ALL COMMITTEE,5888303.0
567,ANDY KIM FOR CONGRESS,5887909.5
568,FRIENDS OF SCHUMER,5882571.0
569,BOOKER FOR KENTUCKY,5875840.0
570,Nuclear Matters,5867950.5
571,Alaska Wilderness League,5860392.0
572,Celebrity Voice Changer,5857109.5
573,AIrMedCare Network,5827441.0
574,"Progress Florida Education Institute, Inc.",5824150.5
575,Mark Robinson for NC,5786194.5
576,AMERICAN PRINCIPLES PROJECT PAC,5752721.0
577,Becerra for Attorney General 2022,5710830.5
578,New Jersey Department of Health ,5709407.5
579,HUMAN RIGHTS CAMPAIGN EQUALITY VOTES,5697228.0
580,Progress North Carolina,5691220.5
581,"TheSkimm, Inc",5688561.0
582,Citizens for Free Enterprise,5670642.0
583,Lockwell LLC,5659205.0
584,TAMMY FOR ILLINOIS,5655196.5
585,Commonwealth Leaders Fund,5652734.0
586,Chicks on the Right,5650408.0
587,THE MARKEY COMMITTEE,5637118.0
588,Montanans for Bullock,5628280.5
589,Georgia United Victory,5602215.0
590,ProgressNow AZ,5601240.5
591,The Story of Us,5586004.0
592,Minnesota AG Energy Alliance,5565350.0
593,Virginia League for Planned Parenthood,5563360.5
594,DR. CAMERON WEBB FOR CONGRESS,5535271.5
595,REPUBLICAN ATTORNEYS GENERAL ASSOCIATION,5530749.0
596,CVS HEALTH CORPORATION,5476176.5
597,DFL Senate Caucus,5475079.0
598,Protect the Promise,5462092.0
599,Brady Pac,5450612.5
600,Tango Tango Inc,5428264.5
601,JOE CUNNINGHAM FOR CONGRESS,5424495.5
602,"JOHN JAMES FOR SENATE, INC.",5411718.0
603,Fight Back Fund,5372389.0
604,State Government Leadership Foundation,5371349.0
605,US INC,5339181.0
606,Shahid Buttar for Congress Committee,5305687.0
607,Food & Water Watch,5281812.0
608,AMERICAN SECURITY PROJECT,5265441.5
609,TEAM RICK SCOTT,5261331.0
610,"No on Prop 22, coalition to protect riders and drivers sponsored by CA labor. Committee major funding from International Brotherhood of Teamsters Service Employees International Union United Healthcare Workers West State Building and Construction Trades Council of California",5257983.0
611,William Junior Vasquez,5236027.0
612,Goldman Sachs & Co.,5234191.0
613,Partners In Health,5228443.5
614,KagaGear.com,5212907.0
