,ad_creative_body,count
10,Trump is using the Supreme Court to take away health protections for millions. We need a president who will protect our care.,6388
11,"𝐘𝐎𝐔'𝐕𝐄 𝐁𝐄𝐄𝐍 𝐒𝐄𝐋𝐄𝐂𝐓𝐄𝐃 | 𝟏𝟏:𝟓𝟗 𝐏.𝐌. 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄: Michelle Obama wants Democrats to help her wish President Obama a happy birthday, and we need 1,522 more people to sign his card before 11:59 p.m. tonight – but it looks like your name is still missing. Will you sign President Obama's birthday card now?",6189
12,"Sorry to interrupt your scrolling, but we wanted to make sure that you saw this update: Barack Obama is supporting Joe Biden. Michelle Obama is supporting Joe Biden. Kamala Harris is supporting Joe Biden. They’re all supporting Joe Biden – are you? We need 596 more responses to our poll before 11:59 p.m. – Will you vote for Joe Biden?",6163
13,I’m going to get it done. But I need your vote — and your voice. Let’s do this together.,6023
14,"COVID is rising again in Florida, but Trump still ignores health experts. Over 16,000 Floridians have died. We deserve better.",5848
15,"Trump wants to eliminate the Affordable Care Act, denying coverage for millions of Floridians with preexisting conditions.",5802
16,"YOU’VE BEEN SELECTED | 11:59 P.M. DEADLINE: Trump’s shameful actions made him the third president in our country’s history to be impeached, but more than 45% of Americans still approve of him as president. You’ve been selected to let us know where you stand, and we’re 98% of the way to our response goal – but we’re still waiting to hear from you. Let us know now: Do YOU approve of Donald Trump?",5589
17,"If you’re a Democrat, you’re going to want to read this:

Despite the risks of voting in person during a pandemic, some Americans are STILL unable to vote by mail. Michelle Obama and others are standing up to do what’s right for our democracy and demand Congress implement vote-by-mail for all Americans – join her today and sign the petition by 11:59 p.m.!",5227
18,"COVID-19 is rising in Florida, and Trump has no plan to deal with it. We can’t take another four years.",5182
19,"Our health care is on the ballot - Trump would eliminate protections for pre-existing conditions, even during a pandemic.",5175
20,"Are you voting for Joe Biden?

We are gathering data in your state today and asking you to take our new general election poll. Your response is critical in helping us form our general election strategy. So please, let us know if you’re planning to vote this November for Vice President Biden here:",5128
21,𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋 𝐒𝐓𝐑𝐀𝐖 𝐏𝐎𝐋𝐋: Tell us before midnight – 𝐰𝐡𝐨’𝐬 𝐲𝐨𝐮𝐫 𝐩𝐢𝐜𝐤 𝐟𝐨𝐫 𝐯𝐢𝐜𝐞 𝐩𝐫𝐞𝐬𝐢𝐝𝐞𝐧𝐭?,4812
22,Don’t let Donald Trump raise the cost of prescription drugs. Vote for Biden to keep medicine affordable.,4799
23,𝐔𝐑𝐆𝐄𝐍𝐓 𝐏𝐎𝐋𝐋: Kamala Harris is supporting Joe Biden. Pete Buttigieg is supporting Joe Biden. Cory Booker is supporting Joe Biden. Amy Klobuchar is supporting Joe Biden. They’re all supporting Joe Biden – are you? We need 246 additional responses to our poll before midnight: Will you vote for Joe Biden?,4662
24,"There are two kinds of Floridians. Those who rely on Social Security, and those who will.",4549
25,"𝐅𝐈𝐍𝐀𝐋 𝐂𝐇𝐀𝐍𝐂𝐄 𝐓𝐎 𝐒𝐈𝐆𝐍 𝐎𝐁𝐀𝐌𝐀’𝐒 𝐁𝐈𝐑𝐓𝐇𝐃𝐀𝐘 𝐂𝐀𝐑𝐃! | 𝟏𝟏:𝟓𝟗 𝐏.𝐌. 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄

President Obama's birthday is coming up, and we're putting together a special card to let him know how much Democrats appreciate him. But we still need 1,522 more signatures before 11:59 p.m. tonight, and your name is missing. Will you sign the card now to wish President Obama a happy birthday?",4501
26,"As president, Joe Biden will restore the Endangered Species Act to protect animals like these.",4452
27,"𝐒𝐈𝐆𝐍 𝐏𝐑𝐄𝐒𝐈𝐃𝐄𝐍𝐓 𝐎𝐁𝐀𝐌𝐀'𝐒 𝐁𝐈𝐑𝐓𝐇𝐃𝐀𝐘 𝐂𝐀𝐑𝐃!
Michelle Obama is wishing President Obama a happy birthday. Joe Biden is wishing Obama a happy birthday. Nancy Pelosi is wishing Obama a happy birthday. We need 1,522 more Democrats like you to join them by signing the card before 11:59 p.m. – add your name now!",4352
28,"Since we called on 1 million Americans to take a stand against Donald Trump, we've received an unprecedented level of response – so we've increased our goal to 2.5 million signatures. 

We're counting on your help to send a powerful message to this president that we've had enough of his hatred, division and calls for violence, but we don't see your name yet. Sign your name now to say loud and clear: I condemn Donald Trump!",4213
29,𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋 𝐃𝐄𝐌𝐎𝐂𝐑𝐀𝐓𝐈𝐂 𝐏𝐎𝐋𝐋 >> Tell us NOW: Do you approve of President Trump?,4029
30,"Joe Biden will cut taxes for the middle class, forgive student loan debt, and increase the child care tax credit.",3754
31,"𝐒𝐓𝐀𝐍𝐃 𝐖𝐈𝐓𝐇 𝐁𝐀𝐑𝐀𝐂𝐊 𝐎𝐁𝐀𝐌𝐀 >>> 𝐒𝐈𝐆𝐍 𝐓𝐇𝐄 𝐏𝐄𝐓𝐈𝐓𝐈𝐎𝐍 𝐅𝐎𝐑 𝐔𝐍𝐈𝐕𝐄𝐑𝐒𝐀𝐋 𝐕𝐎𝐓𝐄-𝐁𝐘-𝐌𝐀𝐈𝐋
President Obama supports vote-by-mail because nobody should have to choose between voting and staying healthy. We need 1,607 more people to sign the petition by 11:59 p.m. to demand Congress implement vote-by-mail for all Americans!",3735
32,"𝟐𝟎𝟐𝟎 𝐑𝐀𝐂𝐄 𝐔𝐏𝐃𝐀𝐓𝐄 | 𝐏𝐨𝐥𝐥𝐬 𝐭𝐢𝐠𝐡𝐭𝐞𝐧𝐢𝐧𝐠 𝐢𝐧 𝐩𝐫𝐞𝐬𝐢𝐝𝐞𝐧𝐭𝐢𝐚𝐥 𝐫𝐚𝐜𝐞: Donald Trump is tightening Joe Biden’s lead in MUST-WIN swing states, and Democrats aren’t responding! We need 3,768 more Democrats in your area – including you – to tell us before 11:59 p.m.: Will you vote for Joe Biden?",3702
33,"𝐒𝐈𝐆𝐍 𝐓𝐇𝐄 𝐏𝐄𝐓𝐈𝐓𝐈𝐎𝐍 𝐓𝐎 𝐉𝐎𝐈𝐍 𝐌𝐈𝐂𝐇𝐄𝐋𝐋𝐄 𝐎𝐁𝐀𝐌𝐀'𝐒 𝐅𝐈𝐆𝐇𝐓 𝐅𝐎𝐑 𝐔𝐍𝐈𝐕𝐄𝐑𝐒𝐀𝐋 𝐕𝐎𝐓𝐄-𝐁𝐘-𝐌𝐀𝐈𝐋 >>>
Michelle Obama is fighting for vote-by-mail for all Americans. But President Trump is doing everything possible to stop this effort – even though that means putting American lives at risk during a pandemic.

We need 2,264 more people like you to stand with Michelle Obama and sign the petition by 11:59 p.m. to demand Congress implement vote-by-mail for all Americans. Add your name now!",3700
34,Thousands of Florida airline workers have been laid off thanks to Trump’s failure to contain Covid.,3690
35,"You’ve been selected: We need committed Democrats to vote from home and help us defeat Donald Trump!

Every single vote against Trump  is crucial this year, so please take just a few minutes to sign up and request your ballot now!",3547
36,"𝐘𝐎𝐔𝐑 𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋 𝐃𝐄𝐌𝐎𝐂𝐑𝐀𝐓𝐈𝐂 𝐏𝐎𝐋𝐋 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄

𝐒𝐭𝐚𝐭𝐮𝐬: STILL MISSING
𝐏𝐨𝐥𝐥 𝐃𝐞𝐚𝐝𝐥𝐢𝐧𝐞: 3 minutes
𝐓𝐞𝐥𝐥 𝐮𝐬 𝐍𝐎𝐖: Do you approve of President Trump?",3515
37,"𝐌𝐈𝐂𝐇𝐄𝐋𝐋𝐄 𝐎𝐁𝐀𝐌𝐀 𝐀𝐂𝐓𝐈𝐎𝐍 𝐀𝐋𝐄𝐑𝐓 | 𝐌𝐈𝐃𝐍𝐈𝐆𝐇𝐓 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄
Michelle Obama is calling for expanding vote-by-mail for all Americans, but she can't do it alone. If you agree voting shouldn’t mean risking your life, we urgently need 2,264 more people like you to sign the petition by 11:59 p.m. to demand Congress implement vote-by-mail for all Americans. Add your name now!",3480
38,Social Security is a promise. You’ve paid for it. Biden will protect it.,3457
39,Joe Biden has a plan to defeat COVID-19 so that tourism can return to Florida and America’s economy can get back on track.,3419
40,𝐔𝐑𝐆𝐄𝐍𝐓 𝐩𝐞𝐭𝐢𝐭𝐢𝐨𝐧 𝐟𝐨𝐫 𝐃𝐞𝐦𝐨𝐜𝐫𝐚𝐭𝐬: 𝐃𝐨 𝐲𝐨𝐮 𝐬𝐮𝐩𝐩𝐨𝐫𝐭 𝐯𝐨𝐭𝐞-𝐛𝐲-𝐦𝐚𝐢𝐥? Sign the petition to demand Congress implement vote-by-mail for all Americans >>,3377
41,"𝐈𝐦𝐩𝐨𝐫𝐭𝐚𝐧𝐭 𝐫𝐞𝐪𝐮𝐞𝐬𝐭 𝐟𝐨𝐫 𝐃𝐞𝐦𝐨𝐜𝐫𝐚𝐭𝐬:

We’re 126 responses short in our official straw poll and need your response by midnight: 𝐖𝐡𝐨’𝐬 𝐲𝐨𝐮𝐫 𝐩𝐢𝐜𝐤 𝐟𝐨𝐫 𝐯𝐢𝐜𝐞 𝐩𝐫𝐞𝐬𝐢𝐝𝐞𝐧𝐭?",3365
42,𝐔𝐑𝐆𝐄𝐍𝐓 𝐏𝐎𝐋𝐋 | 𝐘𝐎𝐔𝐑 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄 𝐈𝐒 𝐌𝐈𝐒𝐒𝐈𝐍𝐆! President Trump’s leadership has come under fire during the coronavirus outbreak – and Trump has said that he doesn’t “take responsibility at all” for his administration’s troubled management of the crisis. That’s why it’s more crucial than ever that we hear from 172 more Democrats in your area before midnight: Do you approve of President Trump?,3259
43,𝐃𝐢𝐝 𝐲𝐨𝐮 𝐬𝐞𝐞 𝐭𝐡𝐢𝐬 𝐎𝐟𝐟𝐢𝐜𝐢𝐚𝐥 𝐃𝐞𝐦𝐨𝐜𝐫𝐚𝐭𝐢𝐜 𝐒𝐭𝐫𝐚𝐰 𝐏𝐨𝐥𝐥? We’re 126 responses short of our midnight goal: 𝐖𝐡𝐨’𝐬 𝐲𝐨𝐮𝐫 𝐩𝐢𝐜𝐤 𝐟𝐨𝐫 𝐯𝐢𝐜𝐞 𝐩𝐫𝐞𝐬𝐢𝐝𝐞𝐧𝐭?,3178
44,"YOU’VE BEEN SELECTED | BEFORE MIDNIGHT: After all of Trump’s lies, corruption and reckless behavior, more than 40% of Americans still approve of him as president. You’ve been selected to let us know where you stand – and we’re 98% of the way to our response goal, but time is running out. Let us know now: Do you approve of Donald Trump?",3096
45,"Joe Biden will invest in American workers, revitalize Florida tourism, and cut taxes for the middle class.",3078
46,𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋 𝐃𝐄𝐌𝐎𝐂𝐑𝐀𝐓𝐈𝐂 𝐏𝐎𝐋𝐋>> Tell us before midnight: Will you vote for Joe Biden?,3077
47,Trump has a plan to cut $500 billion from Medicare and raid your social security benefits. Florida’s seniors deserve better.,3012
48,"URGENT: Nate Silver’s FiveThirtyEight is reporting that we shouldn’t count Trump out and that he has a significant chance at winning four more years in office.

We’re polling Democrats in your area to see where they stand, but we’re still missing your response to this time-sensitive poll. Please take a moment to complete the poll before 11:59 p.m.: Will you vote for Joe Biden and Kamala Harris?",2994
49,"To everyone who has been knocked down, counted out or left behind: This is your campaign. We are in a battle for the soul of this nation, and it's a battle that can only be won if we're fighting together. If you're ready to bring courage, hope and unity back to the White House and to our country, there is a place for you in our movement. Join us today by adding your name to endorse Joe Biden for president, and let's win this thing.",2901
50,"Joe Biden will cut taxes for the middle class, give tax credits for small businesses and create 18 million new jobs.",2826
51,"𝐒𝐓𝐎𝐏 𝐒𝐂𝐑𝐎𝐋𝐋𝐈𝐍𝐆! 𝐖𝐞 𝐮𝐫𝐠𝐞𝐧𝐭𝐥𝐲 𝐧𝐞𝐞𝐝 𝐭𝐨 𝐤𝐧𝐨𝐰: 𝐖𝐡𝐨’𝐬 𝐲𝐨𝐮𝐫 𝐩𝐢𝐜𝐤 𝐟𝐨𝐫 𝐯𝐢𝐜𝐞 𝐩𝐫𝐞𝐬𝐢𝐝𝐞𝐧𝐭?
 
Amy Klobuchar, Elizabeth Warren, Kamala Harris and Stacey Abrams are all potential picks, but we need 252 more votes to reach statistical significance, and your response is MISSING. 𝐓𝐞𝐥𝐥 𝐮𝐬 𝐧𝐨𝐰: Who’s your pick for vice president?",2718
52,Joe Biden has a plan to fix our economy. It starts with 10 million new jobs and a tax cut for the middle class.,2625
53,"My promise to you is this: If I'm elected president, my cabinet and my administration will reflect the diversity that makes our country strong. You have my word as a Biden. And that starts with a running mate who will make history as the first woman to serve as Vice President. I’m not ready to share big news yet, but I want to let you know as soon as I am. If you add your name before midnight tonight, I’ll see to it that you’ll hear about my VP pick first:",2566
54,"In these uncertain times, it's more important than ever to keep our movement strong and defeat Donald Trump in the general election – but the only way we can do that is if we keep building together. Our fundraising goals remain critically important, and now that our campaign is entirely online, we mean it when we say your donation has never mattered more. We need to raise $55,000 by midnight from ads like these, so please, are you able to chip in $5 today to sustain our movement to defeat Donald Trump in November?",2510
55,Don’t let Trump drain your hard-earned retirement money.,2489
56,"We're in Donald Trump's America, and it doesn't feel very safe.",2476
57,"Michelle Obama is committed to electing Joe Biden. Jill Biden is committed to electing Joe Biden. Kamala Harris officially accepted the vice presidential nomination to become his running mate. We want to know – are you all in for Joe Biden?
 
We need 595 more Democrats to answer our poll before 11:59 p.m. – but your response is missing! Tell us now: Will you vote for Joe Biden and Kamala Harris?",2413
58,"We’re sorry to interrupt your scrolling, but we really want to hear from you. 

In every crisis our country has faced during this administration, Donald Trump has failed the American people on all fronts – providing nothing but incompetence, lies and excuses. We need 71 more responses from your area to our general election poll before midnight to shape our strategy to get Trump out of the White House, but we're still waiting to hear from top Democrats like you. So please, let us know now if you're planning to vote for Joe Biden this November:",2398
59,COVID-19 ALERT | 11:59 P.M. DEADLINE: The Trump Administration’s leadership during this public health crisis has been DISASTROUS. That’s why it’s more important than ever that we hear from Democrats in your area on if they will be supporting Joe Biden this November. We need 112 more responses by midnight: Will you vote for Joe Biden?,2361
60,"𝐃𝐈𝐃 𝐘𝐎𝐔 𝐒𝐄𝐄 𝐓𝐇𝐈𝐒?

Barack Obama is Team Biden. Bernie Sanders is Team Biden. Elizabeth Warren, Pete Buttigieg, Amy Klobuchar and Kamala Harris are all in for Joe Biden – are you? We need 112 more responses before midnight: Will you vote for Joe Biden?",2345
61,"As Trump fans the flames of white supremacy and hatred in our country, every last one of us shares a responsibility to stand up and pursue justice with every ounce of our being. That's why we need 1 million Americans to speak out before 11:59 p.m. tonight, but we're still missing your response. Sign your name now to condemn Donald Trump!",2333
62,"𝐁𝐑𝐄𝐀𝐊𝐈𝐍𝐆 𝐍𝐄𝐖𝐒: FiveThirtyEight’s Nate Silver calculates that Donald Trump could lose the popular vote by as much as 4.5%, but still win the Electoral College – and FOUR MORE YEARS in office.
 
We urgently need to hear from 1,862 more Democrats in your area – but we’re missing your response to this time-sensitive poll. Please, before this poll closes at 11:59 p.m., tell us: Will you vote this year?",2319
63,"BREAKING: Joe has the best shot to take on Trump, but we got outraised by some of our top Democratic opponents last quarter, and now a recent poll shows Bernie Sanders leading us by ONE POINT.

We know Joe Biden is the best chance we have to beat Donald Trump and win the battle to restore the soul of our nation – that’s why we’re beating Trump in more than 70 polls nationwide.

In this critical push, YOUR support will go a long way in restoring the soul of the nation. It’s never mattered more. Every dollar makes a difference, and we’re counting on you to step up: Will you donate now to make sure Joe Biden defeats Donald Trump in November?",2299
64,"𝐔𝐑𝐆𝐄𝐍𝐓 𝐃𝐄𝐌𝐎𝐂𝐑𝐀𝐓𝐈𝐂 𝐏𝐎𝐋𝐋: 𝐖𝐡𝐨’𝐬 𝐲𝐨𝐮𝐫 𝐩𝐢𝐜𝐤 𝐟𝐨𝐫 𝐯𝐢𝐜𝐞 𝐩𝐫𝐞𝐬𝐢𝐝𝐞𝐧𝐭?

Joe Biden is the presumptive Democratic nominee and has promised to pick a woman as his running mate. We have 1,148 out of 1,400 responses to validate our poll – but your response is MISSING.
 
𝐓𝐞𝐥𝐥 𝐮𝐬 𝐛𝐞𝐟𝐨𝐫𝐞 𝐦𝐢𝐝𝐧𝐢𝐠𝐡𝐭: 𝐖𝐡𝐨’𝐬 𝐲𝐨𝐮𝐫 𝐩𝐢𝐜𝐤 𝐟𝐨𝐫 𝐯𝐢𝐜𝐞 𝐩𝐫𝐞𝐬𝐢𝐝𝐞𝐧𝐭?",2276
65,"You can cancel out Trump’s Florida vote, drop off your ballot today!",2208
66,4 million jobs lost. Thousands of businesses shuttered. No plans to turn it around.  Trumponomics is hurting Florida.,2139
67,Is your voter registration expired? Take just a minute to check your voter registration status right now – don’t wait until it’s too late!,2128
68,"Joe Biden is going to be the Democratic nominee for president of the United States.

After we won across the country on Super Tuesday, it’s more clear than ever that our campaign is the best chance we have to defeat Donald Trump – and that work starts right now. 

Trump’s campaign and the RNC have raised nearly $500 million to power his reelection, so we need every single dollar we can get if we’re going to stop him, unite this country and take back the White House. We need to raise another $1,027 before midnight, and we’re counting on you to give right now to help us close our fundraising gap and defeat Donald Trump in November!",2094
69,"Together, we're creating a movement that's bringing together Americans from every background and every walk of life – a movement that will defeat Donald Trump and restore the soul of this nation. But if we’re going to get Trump out of the White House, we need the support of 83 more Americans like you before midnight – and we still don’t see your name. Click below to add your name now to endorse Joe Biden for president!",2087
70,A vote for Biden is a vote for your retirement.,2083
71,"Nate Silver’s FiveThirtyEight says Bernie and Joe have the best chance of winning the Democratic nomination, but a recent poll shows that Biden will BEAT Trump while Bernie could LOSE to Trump.  

We can't afford to let Trump win – but with voting already underway, we urgently need to close our $1,027 fundraising gap by midnight tonight if we’re going to make sure Joe Biden is on the ballot against Trump in November. Will you rush a donation now to make sure Joe Biden wins this primary and defeats Donald Trump?",2072
72,"COVID is rising again in Florida. Over 760,000 have been infected, and more than 16,000 have died. Trump failed to protect us.",2018
73,"𝐒𝐨𝐫𝐫𝐲 𝐭𝐨 𝐢𝐧𝐭𝐞𝐫𝐫𝐮𝐩𝐭 𝐲𝐨𝐮𝐫 𝐬𝐜𝐫𝐨𝐥𝐥𝐢𝐧𝐠, 𝐛𝐮𝐭 𝐰𝐞 𝐧𝐞𝐞𝐝 𝐲𝐨𝐮𝐫 𝐫𝐞𝐬𝐩𝐨𝐧𝐬𝐞 𝐭𝐨 𝐠𝐞𝐭 𝐚𝐜𝐜𝐮𝐫𝐚𝐭𝐞 𝐩𝐨𝐥𝐥𝐢𝐧𝐠 𝐝𝐚𝐭𝐚: New polls show the race between Joe Biden and Donald Trump tightening in MUST-WIN swing states. We urgently need to hear from 3,768 more Democrats in your area but haven’t heard from you. Tell us before 11:59 p.m.: Will you vote for Joe Biden?",1989
74,America should be a place for everyone.,1952
75,We can end this era of division. It’s time to bring the country together.,1928
76,Amidst a pandemic we all deserve affordable access to healthcare. Joe is fighting to protect us and save our healthcare.,1920
77,"🚨 𝐖𝐞’𝐫𝐞 𝐬𝐨𝐫𝐫𝐲 𝐭𝐨 𝐢𝐧𝐭𝐞𝐫𝐫𝐮𝐩𝐭 𝐲𝐨𝐮𝐫 𝐬𝐜𝐫𝐨𝐥𝐥𝐢𝐧𝐠, 𝐛𝐮𝐭 𝐲𝐨𝐮 𝐧𝐞𝐞𝐝 𝐭𝐨 𝐬𝐞𝐞 𝐭𝐡𝐢𝐬: President Obama supports universal vote-by-mail, because nobody should have to choose between voting and staying healthy. If you agree, we need you to be one of 2,264 more signatures needed on our petition before 11:59 p.m., demanding Congress implement vote-by-mail for all Americans!",1915
78,It’s time to end this era of division. Joe Biden will bring our country back together again.,1908
79,"[𝐃𝐄𝐌𝐎𝐂𝐑𝐀𝐓𝐈𝐂 𝐏𝐎𝐋𝐋 𝐀𝐋𝐄𝐑𝐓: 𝐀𝐦𝐲 𝐊𝐥𝐨𝐛𝐮𝐜𝐡𝐚𝐫, 𝐄𝐥𝐢𝐳𝐚𝐛𝐞𝐭𝐡 𝐖𝐚𝐫𝐫𝐞𝐧, 𝐊𝐚𝐦𝐚𝐥𝐚 𝐇𝐚𝐫𝐫𝐢𝐬 𝐚𝐧𝐝 𝐒𝐭𝐚𝐜𝐞𝐲 𝐀𝐛𝐫𝐚𝐦𝐬 𝐚𝐫𝐞 𝐭𝐨𝐩 𝐜𝐨𝐧𝐭𝐞𝐧𝐝𝐞𝐫𝐬 𝐟𝐨𝐫 𝐯𝐢𝐜𝐞 𝐩𝐫𝐞𝐬𝐢𝐝𝐞𝐧𝐭]
 
YOUR OFFICIAL STRAW POLL VOTE:

𝐘𝐎𝐔𝐑 𝐑𝐄𝐒𝐏𝐎𝐍𝐒𝐄: MISSING
𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄: 11:59 P.M.
 
𝐖𝐞 𝐧𝐞𝐞𝐝 𝟐𝟓𝟐 𝐦𝐨𝐫𝐞 𝐃𝐞𝐦𝐨𝐜𝐫𝐚𝐭𝐬 𝐭𝐨 𝐭𝐞𝐥𝐥 𝐮𝐬 𝐛𝐞𝐟𝐨𝐫𝐞 𝐦𝐢𝐝𝐧𝐢𝐠𝐡𝐭: 𝐖𝐡𝐨’𝐬 𝐲𝐨𝐮𝐫 𝐩𝐢𝐜𝐤 𝐟𝐨𝐫 𝐯𝐢𝐜𝐞 𝐩𝐫𝐞𝐬𝐢𝐝𝐞𝐧𝐭?",1887
80,"𝗬𝗼𝘂'𝘃𝗲 𝗯𝗲𝗲𝗻 𝘀𝗲𝗹𝗲𝗰𝘁𝗲𝗱: We need committed Democrats to vote from home and help us defeat Donald Trump!

Every single vote against Trump  is crucial this year, so please take just a few minutes to sign up and request your ballot now!",1821
81,"𝐒𝐨𝐫𝐫𝐲 𝐭𝐨 𝐢𝐧𝐭𝐞𝐫𝐫𝐮𝐩𝐭 𝐲𝐨𝐮𝐫 𝐬𝐜𝐫𝐨𝐥𝐥𝐢𝐧𝐠, 𝐛𝐮𝐭 𝐭𝐡𝐢𝐬 𝐢𝐬 𝐢𝐦𝐩𝐨𝐫𝐭𝐚𝐧𝐭 – We need 2,656 more Democrats to complete this urgent poll before 11:59 p.m.: Will you vote for Joe Biden and Kamala Harris?",1793
82,"Joe Biden is going to be the Democratic nominee for president of the United States.

After we won across the country on Super Tuesday, it’s more clear than ever that our campaign is the best chance we have to defeat Donald Trump – and that work starts right now. 

It’s going to take every ounce of grassroots support to win back the White House in November, so we’re looking for 723 more people to join Team Joe before 11:59 p.m. tonight, but we don’t see your name yet. Sign up now to join the team that will defeat Trump in November:",1786
83,"𝐏𝐑𝐄𝐒𝐈𝐃𝐄𝐍𝐓 𝐎𝐁𝐀𝐌𝐀 𝐀𝐂𝐓𝐈𝐎𝐍 𝐀𝐋𝐄𝐑𝐓 | 𝐌𝐈𝐃𝐍𝐈𝐆𝐇𝐓 𝐃𝐄𝐀𝐃𝐋𝐈𝐍𝐄
President Obama is demanding we expand vote-by-mail for all Americans, but he can't do it alone. If you agree voting in person shouldn’t mean risking your life, we urgently need 2,264 more people like you to sign the petition by 11:59 p.m. to demand Congress implement vote-by-mail for all Americans. Add your name now!",1774
84,"Pete Buttigieg is all in for Joe Biden. Amy Klobuchar is all in for Joe Biden. Beto O’Rourke is all in for Joe Biden. A wave of Democrats across the country know that only Biden can beat Trump. Are you with them? 

It’s going to take every ounce of grassroots support to take back the White House in November. That’s why we need 723 more people to join Team Joe before 11:59 p.m. tonight, but we don’t see your name. Sign up now to join the team that will defeat Trump this November:",1763
85,"URGENT: Don’t miss the voter registration deadline! 

Take just a minute to confirm your voter registration right now and make sure you can vote this November!",1721
86,"Joe and Kamala are counting on your vote! Please, click below and take just a minute to confirm your polling place before Election Day on Tuesday, Nov. 3!",1715
87,"You’ve been selected: We need committed Democrats to vote from home and help us win in November!

Every single vote is crucial this year, so please take just a few minutes to sign up and request your ballot now!",1710
88,"Trump wants to take away healthcare during a pandemic, denying coverage for 8 million Floridians with pre-existing conditions.",1707
89,"If you want a Democratic nominee who will:

✅ Build on Obamacare, not scrap it
✅ Take on the NRA and gun manufacturers, not protect them
✅ Stand up for the middle class, not raise their taxes and make promises that can’t be kept

Then you belong on Team Joe. We need 723 more people to join our campaign before 11:59 p.m. tonight, but we don’t see you here yet. Add your name now to join the team that will defeat Trump in November:",1705
